,b,delta,mean,q,stdev,c1,c2,r1,r2,w1,scenario,policy,model
0,0.4112113947376538,0.988006408074924,0.026137309239697294,2.6018576172109875,0.00379841055761675,-1.2642305404379157,0.19200344285253212,1.5748613255382928,0.7976346020308811,0.4776235608627253,30,30,lakeproblem
1,0.2759843123305855,0.9716885943067666,0.015582869127920954,3.5321354811658647,0.004860849915238782,-1.2642305404379157,0.19200344285253212,1.5748613255382928,0.7976346020308811,0.4776235608627253,31,30,lakeproblem
2,0.31374997516390385,0.9315411436995259,0.04710372971891695,4.431397900912587,0.003084351606031327,-1.2642305404379157,0.19200344285253212,1.5748613255382928,0.7976346020308811,0.4776235608627253,32,30,lakeproblem
3,0.11564496799031582,0.9542233212037085,0.0393383859182097,3.3643652083489037,0.0015237633122237434,-1.2642305404379157,0.19200344285253212,1.5748613255382928,0.7976346020308811,0.4776235608627253,33,30,lakeproblem
4,0.21099305869766244,0.9461489722909198,0.021607095029217628,2.248877390448815,0.0022123541673615835,-1.2642305404379157,0.19200344285253212,1.5748613255382928,0.7976346020308811,0.4776235608627253,34,30,lakeproblem
5,0.4112113947376538,0.988006408074924,0.026137309239697294,2.6018576172109875,0.00379841055761675,-0.8376477536647311,0.7559040702901481,0.9292349189449551,1.5525206287403936,0.34337155531408126,30,31,lakeproblem
6,0.2759843123305855,0.9716885943067666,0.015582869127920954,3.5321354811658647,0.004860849915238782,-0.8376477536647311,0.7559040702901481,0.9292349189449551,1.5525206287403936,0.34337155531408126,31,31,lakeproblem
7,0.31374997516390385,0.9315411436995259,0.04710372971891695,4.431397900912587,0.003084351606031327,-0.8376477536647311,0.7559040702901481,0.9292349189449551,1.5525206287403936,0.34337155531408126,32,31,lakeproblem
8,0.11564496799031582,0.9542233212037085,0.0393383859182097,3.3643652083489037,0.0015237633122237434,-0.8376477536647311,0.7559040702901481,0.9292349189449551,1.5525206287403936,0.34337155531408126,33,31,lakeproblem
9,0.21099305869766244,0.9461489722909198,0.021607095029217628,2.248877390448815,0.0022123541673615835,-0.8376477536647311,0.7559040702901481,0.9292349189449551,1.5525206287403936,0.34337155531408126,34,31,lakeproblem
10,0.4112113947376538,0.988006408074924,0.026137309239697294,2.6018576172109875,0.00379841055761675,0.7248120277200729,1.5365564522061872,0.7919091344256846,0.1407984169174355,0.06380394993248599,30,32,lakeproblem
11,0.2759843123305855,0.9716885943067666,0.015582869127920954,3.5321354811658647,0.004860849915238782,0.7248120277200729,1.5365564522061872,0.7919091344256846,0.1407984169174355,0.06380394993248599,31,32,lakeproblem
12,0.31374997516390385,0.9315411436995259,0.04710372971891695,4.431397900912587,0.003084351606031327,0.7248120277200729,1.5365564522061872,0.7919091344256846,0.1407984169174355,0.06380394993248599,32,32,lakeproblem
13,0.11564496799031582,0.9542233212037085,0.0393383859182097,3.3643652083489037,0.0015237633122237434,0.7248120277200729,1.5365564522061872,0.7919091344256846,0.1407984169174355,0.06380394993248599,33,32,lakeproblem
14,0.21099305869766244,0.9461489722909198,0.021607095029217628,2.248877390448815,0.0022123541673615835,0.7248120277200729,1.5365564522061872,0.7919091344256846,0.1407984169174355,0.06380394993248599,34,32,lakeproblem
15,0.4112113947376538,0.988006408074924,0.026137309239697294,2.6018576172109875,0.00379841055761675,-0.024302938498297566,-1.4995118084217496,1.7235216855917375,1.1011649854593992,0.9438174623404547,30,33,lakeproblem
16,0.2759843123305855,0.9716885943067666,0.015582869127920954,3.5321354811658647,0.004860849915238782,-0.024302938498297566,-1.4995118084217496,1.7235216855917375,1.1011649854593992,0.9438174623404547,31,33,lakeproblem
17,0.31374997516390385,0.9315411436995259,0.04710372971891695,4.431397900912587,0.003084351606031327,-0.024302938498297566,-1.4995118084217496,1.7235216855917375,1.1011649854593992,0.9438174623404547,32,33,lakeproblem
18,0.11564496799031582,0.9542233212037085,0.0393383859182097,3.3643652083489037,0.0015237633122237434,-0.024302938498297566,-1.4995118084217496,1.7235216855917375,1.1011649854593992,0.9438174623404547,33,33,lakeproblem
19,0.21099305869766244,0.9461489722909198,0.021607095029217628,2.248877390448815,0.0022123541673615835,-0.024302938498297566,-1.4995118084217496,1.7235216855917375,1.1011649854593992,0.9438174623404547,34,33,lakeproblem
20,0.4112113947376538,0.988006408074924,0.026137309239697294,2.6018576172109875,0.00379841055761675,1.4604383024705134,-1.1411955543791292,0.22764657053918436,1.9571806541102494,0.6545557675238498,30,34,lakeproblem
21,0.2759843123305855,0.9716885943067666,0.015582869127920954,3.5321354811658647,0.004860849915238782,1.4604383024705134,-1.1411955543791292,0.22764657053918436,1.9571806541102494,0.6545557675238498,31,34,lakeproblem
22,0.31374997516390385,0.9315411436995259,0.04710372971891695,4.431397900912587,0.003084351606031327,1.4604383024705134,-1.1411955543791292,0.22764657053918436,1.9571806541102494,0.6545557675238498,32,34,lakeproblem
23,0.11564496799031582,0.9542233212037085,0.0393383859182097,3.3643652083489037,0.0015237633122237434,1.4604383024705134,-1.1411955543791292,0.22764657053918436,1.9571806541102494,0.6545557675238498,33,34,lakeproblem
24,0.21099305869766244,0.9461489722909198,0.021607095029217628,2.248877390448815,0.0022123541673615835,1.4604383024705134,-1.1411955543791292,0.22764657053918436,1.9571806541102494,0.6545557675238498,34,34,lakeproblem
